qid,full_question,subid,subquestion
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 2) accurately using the cubic spline and Simpson’s rule?",4ib,"Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?"
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 3) accurately using the cubic spline and Simpson’s rule?",4ic,What else is wrong with Intern 1’s approach?
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 4) accurately using the cubic spline and Simpson’s rule?",4iia,Explain what an interpolating cubic spline s(t) is.
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 5) accurately using the cubic spline and Simpson’s rule?",4iib,The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 6) accurately using the cubic spline and Simpson’s rule?",4iic,How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 7) accurately using the cubic spline and Simpson’s rule?",4iiia,"Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?"
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 8) accurately using the cubic spline and Simpson’s rule?",4iiib,Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 9) accurately using the cubic spline and Simpson’s rule?",4iiicA,"Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1)."
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 10) accurately using the cubic spline and Simpson’s rule?",4iiicB,"Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens."
Problemfour,"On 24 August the ASX 30 day intrabank cash rate futures implied yield curve was given by the m = 18 data values in Table 2.1, which are plotted in Figure 2.1. Three interns, Intern 1, Intern 2 and Intern 3, were asked to perform various calculations using the data (t_i, r_i) where r_i = r(t_i) for i = 1,...,m are the annualised yields as percentages.

Table 2.1: Implied yield data
i:      1    2    3    4    5    6    7    8    9
t_i:    0    1    2    3    4    5    6    7    8
r_i:  2.545 2.485 2.450 2.380 2.325 2.325 2.305 2.295 2.285
i:     10   11   12   13   14   15   16   17   18
t_i:    9   10   11   12   13   14   15   16   17
r_i:  2.290 2.330 2.380 2.425 2.475 2.530 2.600 2.685 2.695
Figure 2.1: Yield curve data and approximations. The data was stored in MATLAB in column vectors tdat and rdat.
i) Intern 1 approximated the data by the lowest degree polynomial that would interpolate all the data values.
 a) What is the degree n of this polynomial?
 b) Intern 1 solved Ax = r where A is the Vandermonde matrix with A_ij = t_i^{j-1}. They used MATLAB:
  Acnd = cond(A) → 3.2705e+14
  x = A \ rdat;
  rpolchk = norm(A*tdat - rdat) → 1.6801e+03，what is your explanation for this?
 c) What else is wrong with Intern 1’s approach?
ii) Intern 2 approximated the data using:
  tspl = linspace(0, 1.5, 1501);
  rspl = spline(tdat, rdat, tspl);obtaining the dash-dot curve in Figure 2.1
 a) Explain what an interpolating cubic spline s(t) is.
 b)The spline approximation gives a low predicted yield at t = 1.5 years? Explain why this has occurred.
 c) How could knowledge of the slopes r (t1) and r (t18) be used to improve the spline approximation.
iii)  The value at time t of $1 received at time T ≥ t (years) is B(t,T) = exp( -∫ₜᵀ r(s)ds ) for 0 ≤ t ≤ T.
 a) Intern 3 used the yield r9 = 2.285% at 8 months and the yield r13 = 2.425% at 1 year to provide the bounds 0.2975 ≤ B(0.5, 1) ≤ 0.3190. Calculate lower and upper bounds on B(0.5, 1) using     r9 and r13. Do you agree with Intern 3?
 b) Use a quadrature rule of your choice and the data in Table 2.1 to estimate the value at t = 0.5 of $1 million received at T = 1.
 c) The Gauss-Legendre nodes zj and weights wj for j = 1,...,N on the interval [−1, 1] are calculated using the Matlab command [z, w] = gauleg(N)
  A)Explain how the Gauss-Legendre nodes and weights can be used to estimate B(0.5, 1).
  B)Intern 3 used the cubic spline and the Gauss-Legendre nodes to estimate B(0.5, 1) to high accuracy, but needed a large number of nodes N. Explain why this happens.
 d) How can you estimate B(0.5, 11) accurately using the cubic spline and Simpson’s rule?",4iiid,"How can you estimate B(0.5, 1) accurately using the cubic spline and Simpson’s rule?"
Problemfive,"The value V(S, t) of an option on an underlying asset with price S at time t satisfies the Black–Scholes PDE
∂V/∂t + rS ∂V/∂S + (σ²/2) S² ∂²V/∂S² = rV          (3.1)
for 0 < S < ∞ and 0 < t < T. Assume the risk-free interest rate r and the volatility σ are known positive constants.
At expiry T, the payoff of an “exotic” option with strikes 0 < K₁ < K₂ is
    f(S) =   0            if S < K₁
           S − K₁        if K₁ ≤ S ≤ K₂
           K₂ − K₁       if S > K₂.
i) Carefully explain what the “initial” conditions are for this problem.
ii) The change of variables to log-moneyness y and time to expiry τ is
    y = log(S/X)       and       τ = T − t,
where X is a positive constant. This gives W(y, τ) = V(S, t).
a) Find expressions for
    ∂W/∂τ,     ∂W/∂y,     ∂²W/∂y²
in terms of the partial derivatives of V(S, t).
b) Show that the Black and Scholes PDE (3.1) is equivalent to
    -∂W/∂τ + (r − σ²/2) ∂W/∂y + (σ²/2) ∂²W/∂y² = rW        (3.2)
in terms of the log-moneyness y and the time to expiry τ.
c) What are the initial conditions for the transformed problem?
iii)Let y_max > 0 and consider the domain y ∈ [−y_max, y_max] and τ ∈ [0, T].
Consider the grid (y_j, τ_ℓ) where
    y_j = −y_max + jΔy,      j = 0, 1, 2, ..., 2(n+1)
    τ_ℓ = ℓΔτ,               ℓ = 0, 1, 2, ..., m
    Δy = y_max / (n + 1),    Δτ = T / m
a)Let W^ℓ_j ≈ W(y_j, τ_ℓ) denote the approximate solution. At the time to expiry τ_ℓ and log-moneyness y_j give:
A) central difference approximations of O((Δy)²) for the partial derivatives ∂W/∂y and ∂²W/∂y².
B) forward difference approximation of O(Δτ) for the partial derivative ∂W/∂τ.
b)Show that the finite difference equation for the PDE (3.2) has the form
    W^{ℓ+1}_j = α W^ℓ_{j−1} + β W^ℓ_j + γ W^ℓ_{j+1}     (3.3)
and find the coefficients α, β and γ.
c)A student claims that as the initial conditions are at expiry and the time stepping is from expiry at t_m = T back to t_0 = 0, equation (3.3) represents an implicit method so there are no restrictions on the values for Δτ and Δy that can be used. Is this correct? Justify your answer.
iv)The current asset price at t = 0 is S₀ = X e^{y₀}. 
a)Give an approximation for the option Delta Δ.
b)Give an approximation for the option Gamma Γ.",5i,Carefully explain what the “initial” conditions are for this problem.
