Problem ID,Sub ID,Subquestion,Score,Total,Feedback
Problemthree,,"Let A be a real (n × n) square matrix. Let a_ii and a_jj be the iᵗʰ and jᵗʰ diagonal elements of A respectively, where i, j ∈ {1, ..., n} and i ≠ j.
Using the definition of an indefinite matrix, show that if a_ii a_jj < 0, then A is indefinite.",4,5,"The student's solution is mostly correct and logically structured, with only minor issues in the explanation of how the submatrix B relates to the original matrix A."
Problemfour,,"Let C be an m × n matrix, d ∈ ℝᵐ, a ∈ ℝⁿ and r ∈ ℝ. Show that
Ω = { x ∈ ℝⁿ :  ‖Cx − d‖ ≤ aᵀx + r }
is a convex set for any norm ‖·‖ on ℝᵐ.
State any properties of a norm that you use.",5,5,"The student's solution is excellent. It is well-structured, logically rigorous, and correctly applies the properties of norms and linearity to prove the convexity of the set Ω. Each step is clear and correctly reasoned."
Problemone,i,(i) Calculate the Newton direction s^(1) for h at x^(1).,5,5,"Excellent solution. All steps are correct, well-organized, and clearly reasoned. The student demonstrates a thorough understanding of the Newton direction calculation."
Problemone,ii,(ii) Is the Newton direction s^(1) a descent direction for h at x^(1)? Give reasons.,5,5,"Excellent work! The student's solution is fully correct, well-organized, and demonstrates clear understanding of the problem. Each step is logically structured and rigorously executed."
Problemone,iii,(iii) Find the next Newton iterate x^(2).,5,5,"Excellent work! The student's solution is fully correct, well-organized, and demonstrates clear understanding of the Newton's method for optimization."
Problemone,iv,(iv) Show that x^(2) is the unique global minimiser for h.,5,5,"Excellent solution. All steps are correct, well-organized, and clearly reasoned."
Problemtwo,,"Consider the equality constrained optimization problem (P₁):
    min_{x ∈ ℝ³} −x₁x₂x₃
    s.t. x₁ + x₂ + x₃ − 40 = 0,
         x₁ + x₂ − x₃ = 0.

It is given that x* = (10, 10, 20)ᵀ is a regular constrained stationary point for (P₁)
with Lagrange multipliers λ₁* = 150 and λ₂* = 50.

Using second-order sufficient optimality conditions, determine whether x* is a strict local minimiser.",4,5,"The student's solution is mostly correct and well-structured, with only a minor error in the null space computation. The reasoning is clear and follows the necessary steps to determine the optimality condition."
Problemthree,i,(i) Find a constrained stationary point z* of the problem (P₂).,5,5,"Excellent solution. The student correctly applied the method of Lagrange multipliers, solved the system of equations accurately, and arrived at the correct constrained stationary point. Each step is logically sound and well-explained."
Problemthree,ii,(ii) Is z* the only constrained stationary point for (P₂)? Give reasons.,4,5,"The student's solution is mostly correct and well-structured, with only minor issues in verifying other potential solutions."
Problemthree,iii,(iii) Explain why the constrained stationary point z* of part (i) is a global minimizer for the problem (P2).,4,5,"The student's solution is mostly correct and well-structured, with only minor issues in the explanation of convexity and the KKT conditions. The conclusion is accurate and well-supported by the steps."
Problemthree,iv,"(iv) Stating clear reasons, show that z* of part (i) is the unique global minimizer for the problem (P2).",4,5,"The student's solution is mostly correct and well-structured, with only minor issues in the verification of the KKT conditions and the second-order conditions. The conclusion about uniqueness due to convexity is correct but could be more rigorously justified."
