Actual question number,Question number,AI answer,Correct answer,Mark,Shortcoming
fin-1-i-a,60,"The polynomial approximation in Figure 1 does not agree with the interest rate data at \( t_6 = 2.5 \), \( t_7 = 3 \), or \( t_8 = 3.5 \) years because the Vandermonde matrix \( \mathbf{A} \) is ill-conditioned, as indicated by the large condition number (ratio of maximum to minimum singular values, \( \frac{sv_{\max}}{sv_{\min}} = \frac{1.2235 \times 10^3}{6.4320 \times 10^{-2}} \approx 19022 \)). This ill-conditioning leads to significant numerical instability when solving the linear system \( \mathbf{Ac} = \mathbf{rd} \) for the polynomial coefficients \( \mathbf{c} \), causing large errors in the resulting polynomial fit. Consequently, the polynomial deviates substantially from the actual data points at these specific time values, demonstrating the Runge phenomenon where high-degree polynomial interpolation can introduce oscillations and inaccuracies between data points, especially near the edges of the interval.
","\textbf{Answer:} We have 9 data points and use a polynomial of degree 5. The polynomial has 6 coefficients which we can choose. Hence in general it is not possible to fit the polynomial such that it goes through all 9 data points (in general it can only go through at most 6 data points, which is the case in this example).
",3,1.Missing the fundamental modeling mismatch 2.No mention of underfitting due to degree mismatch 3.Too much emphasis on the condition number 4.Does not state why deviations occur at specific points
fin-1-i-b,61,"The rank of matrix \( \mathbf{A} \) is 6. The matrix \( \mathbf{A} \) is a Vandermonde matrix constructed from the time values \( t_i \) for \( i = 1, \ldots, 9 \), with each column representing powers of \( t_i \) up to degree 5. Since we are fitting a polynomial of degree \( n = 5 \) to 9 distinct data points, the matrix \( \mathbf{A} \) is a 9×6 matrix. The rank of a Vandermonde matrix is equal to the number of columns if the nodes \( t_i \) are distinct, which is the case here. Thus, the rank is 6, indicating that the columns are linearly independent and span a 6-dimensional subspace.
","\textbf{Answer:} All singular values are positive and hence the matrix has full rank, which is 6.
",5,no
fin-1-i-c,62,"The condition number \( \kappa_2(\mathbf{A}) \) of matrix \( \mathbf{A} \) is estimated using the singular values obtained from the SVD of \( \mathbf{A} \). The MATLAB commands \texttt{sv = svd(A)} calculate the singular values, and the condition number is the ratio of the largest singular value ( \texttt{svmax = sv(1)} ) to the smallest singular value ( \texttt{svmin = sv(end)} ). From the given values, \( \texttt{svmax} = 1.2235 \times 10^3 \) and \( \texttt{svmin} = 6.4320 \times 10^{-2} \). Therefore, the condition number is

\[
\kappa_2(\mathbf{A}) = \frac{\texttt{svmax}}{\texttt{svmin}} = \frac{1.2235 \times 10^3}{6.4320 \times 10^{-2}} \approx 19022.
\]
","\[
\kappa_2(A) = \frac{\text{svmax}}{\text{svmin}} = \frac{1.2235 * 10^3}{6.4320 * 10^{-2}} = 1.9022 * 10^4
\]
",5,no
fin-1-i-d,63,"The relative change in the polynomial coefficients \( \mathbf{a} \) due to a one basis point (0.01\%) decrease in the interest rate at some time \( t_i \) can be estimated using the condition number \( \kappa_2(\mathbf{A}) \). The relative change in the coefficients is bounded by \( \kappa_2(\mathbf{A}) \times \text{(relative change in the data)} \). With \( \kappa_2(\mathbf{A}) \approx 19022 \) and a relative change in the data of \( \frac{0.01}{3.5} \approx 0.00286 \) (assuming the smallest interest rate of 3.5\%), the relative change in the coefficients is approximately \( 19022 \times 0.00286 \approx 54.3 \). This indicates that a small change in the data can lead to a very large relative change in the coefficients, suggesting low confidence in the values of \( \mathbf{a} \) due to the ill-conditioning of the Vandermonde matrix \( \mathbf{A} \).
","\textbf{Answer:} The relative change is
\[
0.01 \kappa_2(A) = 10^{-4} \times 1.9022 \times 10^4 = 1.9022.
\]
Since the relative change is larger than 1, I don’t have any confidence in the solution.
",5,no
fin-1-ii-a,64,"A cubic spline interpolant is a piecewise cubic polynomial function that passes through a given set of data points. It is constructed by fitting a separate cubic polynomial to each interval between consecutive data points, ensuring that the function values, first derivatives, and second derivatives match at the data points (knots). This continuity of derivatives results in a smooth curve without sharp corners, unlike high-degree polynomial interpolations that can exhibit oscillations. Cubic splines are preferred for interpolation because they provide a good balance between smoothness and accuracy, avoiding the Runge phenomenon observed with high-degree polynomials.
","A cubic spline interpolant is a piecewise polynomial of degree 3 which goes through all the data points such that the resulting function is twice continuously differentiable.
",4,1. lacks depth and application-oriented explanation
fin-1-ii-b,65,"The two cubic spline interpolants, \texttt{rsp1} and \texttt{rsp2}, predict very different estimates for the interest rate at \( t = 4.5 \) years because they are constructed using different sets of data points. \texttt{rsp1} interpolates the original data points directly, while \texttt{rsp2} interpolates the data points augmented with an additional zero value at the beginning and end, effectively forcing the spline to pass through zero at \( t = 0 \) and \( t = 4.5 \). This additional constraint in \texttt{rsp2} significantly alters the shape of the spline, especially near the boundaries, leading to a different prediction at \( t = 4.5 \) compared to \texttt{rsp1}, which does not have this constraint. The difference highlights the sensitivity of spline interpolation to boundary conditions and the importance of carefully selecting the data points to accurately reflect the underlying trend.
","The cubic spline requires two additional conditions to be defined uniquely. These two conditions at the end points are different for those two splines, yielding different behaviour outside the range. (Spline 2 has derivative 0 at the end points, whereas Spline 1 is a not-a-knot spline.)
",4,1.lack Terminology clarity
fin-1-iii/iv,66,"The singular value decomposition (SVD) of a rectangular matrix \( A \in \mathbb{R}^{m \times n} \) with \( m \geq n \) is given by
\[
A = U \Sigma V^T,
\]
where \( U \) is an \( m \times m \) orthogonal matrix, \( \Sigma \) is an \( m \times n \) diagonal matrix with non-negative singular values \( \sigma_1 \geq \sigma_2 \geq \cdots \geq \sigma_n \geq 0 \), and \( V \) is an \( n \times n \) orthogonal matrix.

This decomposition can be expressed as
\[
A = Y \Sigma V^T = \sum_{j=1}^{n} \sigma_j \mathbf{u}_j \mathbf{v}_j^T,
\]
where \( U = [Y \quad Z] \), 
\[
Y = [\mathbf{u}_1 \quad \mathbf{u}_2 \quad \cdots \quad \mathbf{u}_n], \quad
Z = [\mathbf{u}_{n+1} \quad \mathbf{u}_{n+2} \quad \cdots \quad \mathbf{u}_m],
\]
\[
\Sigma = \mathrm{diag}(\sigma_1, \sigma_2, \ldots, \sigma_n), \quad
V = [\mathbf{v}_1 \quad \mathbf{v}_2 \quad \cdots \quad \mathbf{v}_n].
\]

An orthogonal matrix \( Q \in \mathbb{R}^{n \times n} \) is a square matrix whose columns and rows are orthonormal vectors, meaning
\[
Q^T Q = Q Q^T = I,
\]
where \( I \) is the identity matrix. This implies that the inverse of \( Q \) is its transpose, i.e., \( Q^{-1} = Q^T \).
","\textbf{Answer:} The matrix \( Q \) is orthogonal if \( QQ^T = I \), where \( I \) is the identity matrix.
",4,1.Incomplete characterization 2.Lack of generality and interpretation
fin-1-v,67,"To show that if \( Q \) is orthogonal, then \( \|Q\mathbf{x}\|_2 = \|\mathbf{x}\|_2 \) for all \( \mathbf{x} \in \mathbb{R}^n \), we start with the definition of the 2-norm squared: \( \|Q\mathbf{x}\|_2^2 = (Q\mathbf{x})^T(Q\mathbf{x}) \). Using the property \( (AB)^T = B^TA^T \), we have
\[
\|Q\mathbf{x}\|_2^2 = \mathbf{x}^T Q^T Q \mathbf{x}.
\]
Since \( Q \) is orthogonal, \( Q^T Q = I \), where \( I \) is the identity matrix. Thus,
\[
\|Q\mathbf{x}\|_2^2 = \mathbf{x}^T I \mathbf{x} = \mathbf{x}^T \mathbf{x} = \|\mathbf{x}\|_2^2.
\]
Taking the square root of both sides gives \( \|Q\mathbf{x}\|_2 = \|\mathbf{x}\|_2 \), proving that orthogonal matrices preserve the 2-norm.
","\textbf{Answer:} We have
\[
\|Q\mathbf{x}\|_2^2 = (Q\mathbf{x})^T \cdot (Q\mathbf{x}) = \mathbf{x}^T Q^T Q \mathbf{x} = \mathbf{x}^T \mathbf{x} = \|\mathbf{x}\|_2^2.
\]
The result follows now by taking square roots on both sides.
",5,no
fin-1-vi,68,"Given \( A = U \Sigma V^T \) and \( \mathbf{y} = V^T \mathbf{x} \), we want to show that minimizing \( \|A\mathbf{x} - \mathbf{b}\|_2 \) is equivalent to minimizing \( \|\Sigma \mathbf{y} - Y^T \mathbf{b}\|_2 \). We have
\[
\|A\mathbf{x} - \mathbf{b}\|_2 = \|U \Sigma V^T \mathbf{x} - \mathbf{b}\|_2.
\]
Since \( U \) is orthogonal, \( \|U \mathbf{z}\|_2 = \|\mathbf{z}\|_2 \), so
\[
\|U \Sigma V^T \mathbf{x} - \mathbf{b}\|_2 = \|\Sigma V^T \mathbf{x} - U^T \mathbf{b}\|_2.
\]
Substituting \( \mathbf{y} = V^T \mathbf{x} \), we get
\[
\|\Sigma \mathbf{y} - U^T \mathbf{b}\|_2.
\]
Since \( U = \begin{bmatrix} Y & Z \end{bmatrix} \), we have
\[
U^T \mathbf{b} = \begin{bmatrix} Y^T \\ Z^T \end{bmatrix} \mathbf{b}.
\]
Thus, the first \( n \) components of \( U^T \mathbf{b} \) are \( Y^T \mathbf{b} \), and the remaining components are \( Z^T \mathbf{b} \).

The minimization of \( \|\Sigma \mathbf{y} - U^T \mathbf{b}\|_2 \) involves only the first \( n \) components because \( \Sigma \) is \( m \times n \). Therefore, minimizing \( \|A \mathbf{x} - \mathbf{b}\|_2 \) is equivalent to minimizing \( \|\Sigma \mathbf{y} - Y^T \mathbf{b}\|_2 \).
","\textbf{Answer:} We have
\[
\|A\mathbf{x} - \mathbf{b}\|_2^2 = \left\| \begin{bmatrix} \Sigma \\ 0 \end{bmatrix} V^T \mathbf{x} - \mathbf{b} \right\|_2^2 = \left\| \begin{bmatrix} \Sigma \\ 0 \end{bmatrix} \mathbf{y} - \mathbf{b} \right\|_2^2.
\]
Since \( U \) and also \( U^T \) is an orthogonal matrix, we have by the answer to the previous question that
\[
\|A\mathbf{x} - \mathbf{b}\|_2^2 = \|U^T A \mathbf{x} - U^T \mathbf{b}\|_2^2 = \left\| U^T \begin{bmatrix} \Sigma \\ 0 \end{bmatrix} \mathbf{y} - U^T \mathbf{b} \right\|_2^2.
\]
Using Pythagoras' Theorem we obtain
\[
\|A\mathbf{x} - \mathbf{b}\|_2^2 = \left\| \begin{bmatrix} \Sigma \\ 0 \end{bmatrix} \mathbf{y} - U^T \mathbf{b} \right\|_2^2 = \|\Sigma \mathbf{y} - Y^T \mathbf{b}\|_2^2 + \|Z^T \mathbf{b}\|_2^2.
\]
The term \( \|Z^T \mathbf{b}\|_2^2 \) does not depend on \( \mathbf{x} \) and \( \mathbf{y} \), hence \( \|A\mathbf{x} - \mathbf{b}\|_2^2 \) is minimized if and only if \( \|\Sigma \mathbf{y} - Y^T \mathbf{b}\|_2^2 \) is minimized.
",5,no
fin-2-i,69,"To estimate the exponential growth underlying the price data, we can utilize MATLAB's curve fitting capabilities. First, we define the exponential model 
\[ P_j \approx a e^{c t_j} \]
where \( P_j \) represents the price at time \( t_j \). We then use the \texttt{fit} function in MATLAB with the \texttt{fittype} set to \texttt{exp1} (for a single-term exponential model) and the provided price \( P \) and time \( t \) vectors as input. This function determines the optimal values for the coefficients \( a \) and \( c \) that best fit the data in a least-squares sense. Finally, we plot the fitted exponential curve alongside the original price data to visually assess the fit and ensure the exponential growth is accurately captured. The resulting fitted curve, represented by 
\[ P_j = a e^{c t_j}, \]
provides the desired exponential growth model for the asset's price.
","\textbf{Answer:} Taking logarithms we obtain 
\[ \log P_j \approx \log \alpha + \beta t_j. \]
We can now use least-squares to estimate \( \gamma = \log \alpha \) and \( \beta \). Define the matrix \( A \) by
\[ A = [\text{ones}(N, 1),\ \mathbf{t}] \]
and solve the normal equations
\[ A^T A \begin{pmatrix} \gamma \\ \beta \end{pmatrix} = A^T \log \mathbf{P} \]
using 
\[ [\gamma,\ \beta]^T = A \backslash \log \mathbf{P}. \]
Then set 
\[ \alpha = \exp(\gamma). \]
",3,1.misses the key transformation and linearization idea through logarithms
fin-2-ii-a,70,"To show that \( \hat{y}_{N-k} = \overline{\hat{y}_k} \) for \( k = 1, 2, \ldots, N-1 \), we start with the definition of the discrete Fourier transform (DFT): 
\[
\hat{y}_k = \sum_{j=0}^{N-1} y_j e^{-i 2\pi jk / N}.
\]
Taking the complex conjugate of \( \hat{y}_k \), we get
\[
\overline{\hat{y}_k} = \sum_{j=0}^{N-1} y_j e^{i 2\pi jk / N}.
\]
Now, we consider
\[
\hat{y}_{N-k} = \sum_{j=0}^{N-1} y_j e^{-i 2\pi j (N-k)/N}.
\]
Simplifying the exponent, we have
\[
-i2\pi j (N - k)/N = -i2\pi j + i2\pi jk / N.
\]
Since \( e^{-i2\pi j} = 1 \), we get
\[
\hat{y}_{N-k} = \sum_{j=0}^{N-1} y_j e^{i 2\pi jk / N},
\]
which is exactly \( \overline{\hat{y}_k} \). Therefore, we have shown that \( \hat{y}_{N-k} = \overline{\hat{y}_k} \).
","\textbf{Answer:} We have
\[
\hat{y}_{N-k} = \sum_{j=0}^{N-1} y_j e^{-i2\pi j(N-k)/N}
= \sum_{j=0}^{N-1} y_j e^{i2\pi jk/N} e^{-i2\pi j}
= \sum_{j=0}^{N-1} y_j e^{i2\pi jk/N}
= \sum_{j=0}^{N-1} \overline{y_j} e^{-i2\pi jk/N}
= \overline{\sum_{j=0}^{N-1} y_j e^{-i2\pi jk/N}} = \overline{\hat{y}_k},
\]
where we used that \( \overline{y_j} = y_j \) (i.e., \( y_j \) is real).
",4,1.missed one subtle and essential assumption
fin-2-ii-b,71,"Given \( N = 2n \) and the inversion formula 
\[
y_j = \frac{1}{N} \sum_{k=0}^{N-1} \hat{y}_k e^{i 2\pi jk / N},
\]
we can rewrite \( e^{i 2\pi jk / N} \) as 
\[
\cos(2\pi jk/N) + i \sin(2\pi jk/N).
\]
Separating the sum into real and imaginary parts, and using the property \( \hat{y}_{N-k} = \overline{\hat{y}_k} \), we can express \( y_j \) as a sum of cosine and sine terms. By comparing this expression with the desired form
\[
y_j = a_0 + \sum_{k=1}^{n} [a_k \cos(2\pi k t_j / T) + b_k \sin(2\pi k t_j / T)],
\]
we can identify the coefficients:
\[
a_0 = \frac{1}{N} \hat{y}_0, \quad a_k = \frac{2}{N} \text{Re}(\hat{y}_k), \quad b_k = -\frac{2}{N} \text{Im}(\hat{y}_k)
\]
for \( k = 1, 2, \ldots, n \). Therefore, we have expressed the real coefficients \( a_k \) and \( b_k \) in terms of the complex transform \( \hat{y}_k \).
","\textbf{Answer:} Using Euler’s formula \( e^{i 2\pi x} = \cos(2\pi x) + i \sin(2\pi x) \), we obtain from the inversion formula that
\[
y_j = \frac{1}{N} \sum_{k=0}^{N-1} \hat{y}_k e^{i2\pi jk/N}
= \frac{\hat{y}_0}{N} + \sum_{k=1}^{N-1} \left[ \frac{\hat{y}_k}{N} e^{i2\pi jk/N} + \frac{\hat{y}_{N-k}}{N} e^{i2\pi j(N-k)/N} \right].
\]
Since the \( y_j \) are real numbers, the imaginary part in the above expression is 0 and we have
\[
y_j = \frac{\text{Re}(\hat{y}_0)}{N} + \sum_{k=1}^{n-1} \left[ \frac{2 \text{Re}(\hat{y}_k)}{N} \cos(2\pi jk/N) - \frac{2 \text{Im}(\hat{y}_k)}{N} \sin(2\pi jk/N) \right].
\]
Since \( N = 2n \) is even, for \( k = 1, 2, \ldots, n-1 \), we also have:
\[
\cos(2\pi jk/N) + \cos(2\pi j(N-k)/N) = 2 \cos(2\pi jk/N),
\]
\[
\sin(2\pi jk/N) - \sin(2\pi j(N-k)/N) = 2 \sin(2\pi jk/N).
\]
Then using \( \hat{y}_{N-k} = \overline{\hat{y}_k} \), we get
\[
y_j = \frac{\text{Re}(\hat{y}_0)}{N} + \sum_{k=1}^{n-1} \left[ \frac{2\text{Re}(\hat{y}_k)}{N} \cos(2\pi kt_j / T) - \frac{2\text{Im}(\hat{y}_k)}{N} \sin(2\pi kt_j / T) \right],
\]
so we identify
\[
a_0 = \frac{\text{Re}(\hat{y}_0)}{N}, \quad a_k = \frac{2 \text{Re}(\hat{y}_k)}{N}, \quad b_k = -\frac{2 \text{Im}(\hat{y}_k)}{N} \quad \text{for } k = 1, 2, \ldots, n-1.
\]
We also have \( a_n = \frac{\text{Re}(\hat{y}_n)}{N} \) and \( b_n = 0 \).
",5,1.omits intermediate justifications 2.assumes the conclusion without explicitly stating
fin-2-ii-c,72,"The power spectrum is defined as the magnitude squared of the discrete Fourier transform (DFT) coefficients, which represents the distribution of power across different frequencies in a signal. 

Given the DFT coefficients \( \hat{y}_k \) for \( k = 0, 1, \ldots, N - 1 \), the power spectrum \( P_k \) is defined as 
\[
P_k = |\hat{y}_k|^2 = \hat{y}_k \overline{\hat{y}_k},
\]
where \( \overline{\hat{y}_k} \) is the complex conjugate of \( \hat{y}_k \). 

Thus, the power spectrum is computed by taking the square of the absolute value (or magnitude) of each DFT coefficient, providing a measure of the signal’s energy at each frequency component.
","\textbf{Answer:} The power spectrum is given by 
\[
\frac{|\hat{y}_k|^2}{N}.
\]
",4,1.omission of the normalization factor
fin-2-ii-d,73,"To justify or refute the claim of yearly and monthly cycles in Figure 2, we need to analyze the power spectrum in the bottom plot. Yearly cycles correspond to a frequency of 1 cycle per year, and monthly cycles correspond to a frequency of 12 cycles per year. 

Observing the power spectrum, there is a clear peak at 1 cycle per year, indicating a strong yearly cycle. However, there is no significant peak at 12 cycles per year, suggesting the absence of a strong monthly cycle. 

Thus, the claim that the data has both yearly and monthly cycles of roughly the same intensity is \textbf{refuted}. The data exhibits a prominent yearly cycle but lacks a significant monthly cycle.
","The third graph in Figure 2 shows peaks at 1 and 12, where 1 and 12 denote the cycles per year. Hence the yearly frequency and the frequency with 12 cycles per year, i.e., a monthly cycle have the most intensity (of roughly the same size).
",1,1.fail to analyze the actual heights of the peaks 2.either misread the graph or did not assess peak intensity critically
fin-3-i,74,"\text{To ensure a matrix } C \text{ is a valid covariance matrix for use in the multivariate normal distribution's probability density function } p(\mathbf{x}), \text{ it must be symmetric and positive semi-definite. Symmetry, } C = C^T, \text{ guarantees that the covariance between variables } X_i \text{ and } X_j \text{ is the same as between } X_j \text{ and } X_i. \text{ Positive semi-definiteness, } \mathbf{z}^T C \mathbf{z} \geq 0 \text{ for all non-zero vectors } \mathbf{z}, \text{ ensures that the variances and correlations are physically meaningful, preventing negative variances or undefined distributions. In practice, this can be checked by verifying that all eigenvalues of } C \text{ are non-negative.}
","\textbf{Answer:} Check that the matrix is symmetric (using a matrix norm and tolerance level) and positive definite (using the \textsc{Matlab} function \texttt{chol}).
",3,1.Incomplete CoT Reasoning 2.Mistaken Requirement 3.No mention of eigenvalues
fin-3-ii-a,75,"\text{The Cholesky factorization of a symmetric positive-definite matrix } C \text{ expresses it as } C = R^T R, \text{ where } R \text{ is an upper triangular matrix. The determinant of } C \text{ is then } \det(C) = \det(R^T R) = \det(R^T)\det(R) = \det(R)^2. \text{ Since } R \text{ is triangular, its determinant is simply the product of its diagonal elements, } \det(R) = \prod_{i=1}^n r_{ii}. \text{ Therefore, }
\[
\sqrt{\det(C)} = \sqrt{\det(R)^2} = \det(R) = \prod_{i=1}^n r_{ii},
\]
\text{ which is efficiently computed by multiplying the diagonal elements of the Cholesky factor } R.
","\textbf{Answer:} The Cholesky factor $R$ is upper triangular, hence $\det(R) = \prod_i R_{i,i}$, where $R_{i,i}$ are the diagonal elements of $R$. Then
\[
\det(C) = \det(R^T R) = \det(R^T)\det(R) = \det(R)\det(R).
\]
Thus
\[
\sqrt{\det(C)} = \det(R) = \prod_i R_{i,i},
\]
i.e., the product of the diagonal elements of $R$.
",4,1.Missing clarity on the square root step 2.Less explanation
fin-3-ii-b,76,"\text{To efficiently evaluate } p(\mathbf{x}) \text{ using the Cholesky factorization } C = R^T R, \text{ we rewrite the exponent in the multivariate normal density as } (\mathbf{x} - \boldsymbol{\mu})^T C^{-1} (\mathbf{x} - \boldsymbol{\mu}). \text{ Since } C^{-1} = (R^T R)^{-1} = R^{-1}(R^T)^{-1}, \text{ we have }
\[
(\mathbf{x} - \boldsymbol{\mu})^T R^{-1} (R^T)^{-1} (\mathbf{x} - \boldsymbol{\mu}).
\]
\text{Let } \mathbf{y} = R^{-1} (\mathbf{x} - \boldsymbol{\mu}), \text{ then the exponent becomes } \mathbf{y}^T \mathbf{y} = \|\mathbf{y}\|^2, \text{ the squared Euclidean norm of } \mathbf{y}. \text{ Solving } R \mathbf{y} = \mathbf{x} - \boldsymbol{\mu} \text{ can be done efficiently using forward/backward substitution as } R \text{ is triangular. Substituting gives:}
\[
p(\mathbf{x}) = \frac{\exp(-\|\mathbf{y}\|^2 / 2)}{(2\pi)^{n/2} \det(R)},
\]
\text{ where } \det(R) \text{ is the product of the diagonal elements of } R.
","\textbf{Answer:} Since $C = R^T R$, we have $C^{-1} = R^{-1} R^{-T}$. Hence
\[
(\mathbf{x} - \boldsymbol{\mu})^T C^{-1} (\mathbf{x} - \boldsymbol{\mu}) = (\mathbf{x} - \boldsymbol{\mu})^T R^{-1} R^{-T} (\mathbf{x} - \boldsymbol{\mu}) = [R^{-T}(\mathbf{x} - \boldsymbol{\mu})]^T [R^{-T}(\mathbf{x} - \boldsymbol{\mu})].
\]
We first compute the Cholesky factor $R$ of $C$. We compute $\sqrt{\det(C)}$ by computing the product of the diagonal elements of $R$. Then we compute $\mathbf{y}$ which satisfies $R^T \mathbf{y} = \mathbf{x} - \boldsymbol{\mu}$ by solving a linear system (using forward substitution). Then we compute
\[
\frac{\exp(-\mathbf{y} \cdot \mathbf{y} / 2)}{(2\pi)^{n/2} \prod_i R_{i,i}}
\]
to get the value of $p(\mathbf{x})$.
",5,1.minor divergence in completeness
fin-3-iii-a,77,"\text{Given the substitution } \mathbf{x} = \boldsymbol{\mu} + R^T \mathbf{y}, \text{ we have } \mathbf{x} - \boldsymbol{\mu} = R^T \mathbf{y}. \text{ Substituting this into the multivariate normal density } p(\mathbf{x}) = \frac{\exp\left(-(\mathbf{x} - \boldsymbol{\mu})^T C^{-1} (\mathbf{x} - \boldsymbol{\mu}) / 2\right)}{(2\pi)^{n/2} \sqrt{\det(C)}} \text{ gives } 
\[
p(\mathbf{x}) = \frac{\exp\left(-\mathbf{y}^T R^{-1} (R^T)^{-1} \mathbf{y} / 2\right)}{(2\pi) \sqrt{\det(C)}}.
\]
\text{For } n = 2, \text{ since } R^{-1} (R^T)^{-1} = (R^T R)^{-1} = C^{-1}, \text{ we get } p(\mathbf{x}) = \frac{\exp(-\mathbf{y}^T \mathbf{y} / 2)}{(2\pi) \sqrt{\det(C)}}. \text{ Note that } \mathbf{y}^T \mathbf{y} = y_1^2 + y_2^2, \text{ and } \sqrt{\det(C)} = \det(R) = R_{11} R_{22}. \text{ Therefore, }
\[
p(x_1, x_2) = \frac{\exp(-(y_1^2 + y_2^2)/2)}{2\pi R_{11} R_{22}} = \frac{\phi(y_1)\phi(y_2)}{R_{11} R_{22}}.
\]
","\textbf{Answer:} Using the answer from the previous question, we have
\[
p(x_1, x_2) = \frac{\exp\left(-(y_1^2 + y_2^2)/2\right)}{2\pi R_{1,1} R_{2,2}} = \frac{\phi(y_1)\phi(y_2)}{R_{1,1} R_{2,2}}.
\]
",5,1.omitted intermediate reasoning
fin-3-iii-b,78,"\text{To transform the expected value integral from } \mathbb{E}[f(X_1, X_2)] \text{ to the form in equation (2), we first substitute } \mathbf{x} = \boldsymbol{\mu} + R^T \mathbf{y}, \text{ which gives:}
\[
\mathbb{E}[f(X_1, X_2)] = \int_{-\infty}^\infty \int_{-\infty}^\infty f(\mu_1 + R_{11} y_1 + R_{21} y_2, \mu_2 + R_{12} y_1 + R_{22} y_2) \phi(y_1) \phi(y_2) \, dy_1 \, dy_2.
\]
\text{Let } y_1 = \Phi^{-1}(z_1), \quad y_2 = \Phi^{-1}(z_2), \text{ then } dy_1 = \frac{dz_1}{\phi(\Phi^{-1}(z_1))}, \quad dy_2 = \frac{dz_2}{\phi(\Phi^{-1}(z_2))}.
\text{This transforms the integral into:}
\[
\mathbb{E}[f(X_1, X_2)] = \int_0^1 \int_0^1 f(\mu_1 + R_{11} \Phi^{-1}(z_1) + R_{21} \Phi^{-1}(z_2), \mu_2 + R_{12} \Phi^{-1}(z_1) + R_{22} \Phi^{-1}(z_2)) dz_1 dz_2.
\]
\text{Therefore,}
\[
F(z_1, z_2) = f(\mu_1 + R_{11} \Phi^{-1}(z_1) + R_{21} \Phi^{-1}(z_2), \mu_2 + R_{12} \Phi^{-1}(z_1) + R_{22} \Phi^{-1}(z_2)).
\]
","\textbf{Answer:} We have
\[
\mathbb{E}[f(X_1, X_2)] = \int_{-\infty}^{\infty} \int_{-\infty}^{\infty} f(\boldsymbol{\mu} + R^T \mathbf{y}) \frac{\phi(y_1)\phi(y_2)}{R_{1,1} R_{2,2}} \, dy_1 \, dy_2.
\]
Set \( z_i = \Phi(y_i) \), or in other words \( y_i = \Phi^{-1}(z_i) \), for \( i = 1, 2 \). Then \( dz_i = \phi(y_i) dy_i \) and hence
\[
\mathbb{E}[f(X_1, X_2)] = \int_0^1 \int_0^1 \frac{f(\boldsymbol{\mu} + R^T (\Phi^{-1}(z_1), \Phi^{-1}(z_2))^T)}{R_{1,1} R_{2,2}} \, dz_1 \, dz_2.
\]
Thus
\[
F(z_1, z_2) = \frac{f(\boldsymbol{\mu} + R^T (\Phi^{-1}(z_1), \Phi^{-1}(z_2))^T)}{R_{1,1} R_{2,2}}.
\]
",3,1.Unjustified Jacobian 2.Missing Simplification 3.Rigid Format
fin-3-iii-c-A,79,"\text{To use the Monte Carlo method to compute a numerical approximation to the integral (2), we would generate } N \text{ independent pairs of uniform random numbers } (z_{1,i}, z_{2,i}) \text{ for } i = 1, \ldots, N, \text{ where } z_{1,i}, z_{2,i} \sim U(0,1). \text{ Then, we evaluate the function } F(z_{1,i}, z_{2,i}) \text{ for each pair and compute the average of these function values. The approximation to the integral is then:}
\[
\frac{1}{N} \sum_{i=1}^N F(z_{1,i}, z_{2,i}).
\]
\text{As } N \to \infty, \text{ this converges to the true value of the integral.}
","\textbf{Answer:} Generate \( N \) samples \( \mathbf{z}_1, \mathbf{z}_2, \ldots, \mathbf{z}_N \) in the square \([0,1]^2\) where \( \mathbf{z}_n = (z_{n,1}, z_{n,2}) \), and then compute
\[
\frac{1}{N} \sum_{n=1}^N F(\mathbf{z}_n)
\]
to approximate the integral (2).
",4,1.Lacks explanation of the rationale
fin-3-iii-c-B,80,"\text{The accuracy of the Monte Carlo method is related to the number of samples } N \text{ used in the approximation. Specifically, the error in the Monte Carlo estimate typically decreases at a rate of } \frac{1}{\sqrt{N}}, \text{ meaning to reduce the error by a factor of 10, you need to increase the number of samples by a factor of 100. This convergence rate is independent of the dimensionality of the integral, making Monte Carlo particularly useful for high-dimensional problems. However, convergence is slow compared to quadrature in low dimensions, and accuracy is probabilistic—there’s always a chance of a large error, though it becomes less likely as } N \text{ increases.}
","\textbf{Answer:} The expectation value of the approximation is 
\[
\int_{[0,1]^2} F(\mathbf{z})\,d\mathbf{z},
\]
and the standard deviation of 
\[
\frac{1}{N} \sum_{n=1}^N F(\mathbf{z}_n)
\]
is 
\[
\frac{\sigma(F)}{\sqrt{N}}.
\]
",3,1.Missing practical interpretation of accuracy 2.Lacks comparison to other methods 3.Minimal justification
fin-3-iii-c-C,81,"\text{The accuracy of the Monte Carlo method can be improved through variance reduction techniques. One common approach is importance sampling, where samples are drawn from a distribution that better reflects the integrand's behavior, concentrating samples in regions that contribute most to the integral. Another technique is stratified sampling, which divides the integration domain into subregions and samples each subregion proportionally to its contribution, reducing variance compared to purely random sampling. Antithetic variates can also be used, where pairs of negatively correlated samples are generated, reducing variance by canceling out errors. Additionally, control variates can be employed, where a function with a known integral is used to reduce the variance of the estimator. Finally, increasing the number of samples } N \text{ directly reduces the error, as the error decreases proportionally to } \frac{1}{\sqrt{N}}.
","\textbf{Answer:} One could use a control variate \( G \), whose integral can be computed exactly and then approximate the integral over \( F - G \) using Monte Carlo. Another option is to use antithetic variables. The third option is to replace Monte Carlo sampling with Quasi-Monte Carlo sampling.
",4,1.Missing key variance reduction methods 2.Lacks explanation or rationale
